Catálogo de cód                          
Fecha inicio deFecha fin de    Versión     Revisión  
   3/27/2017                     2.0     
                                         
c_CodigoPostal   c_Estado    c_Municipio c_Localidad 
     52585          MEX                  
     52586          MEX                  
     52587          MEX                  
     52588          MEX                  
     52589          MEX                  
     52590          MEX                  
     52591          MEX                  
     52592          MEX                  
     52593          MEX                  
     52594          MEX                  
     52595          MEX                  
     52596          MEX                  
     52597          MEX                  
     52598          MEX                  
     52599          MEX                  
     52600          MEX          101     
     52601          MEX                  
     52602          MEX                  
     52603          MEX          101     
     52604          MEX          101     
     52605          MEX          101     
     52606          MEX                  
     52607          MEX          101     
     52608          MEX                  
     52609          MEX                  
     52610          MEX                  
     52611          MEX                  
     52612          MEX                  
     52613          MEX          101     
     52614          MEX          101     
     52615          MEX                  
     52616          MEX                  
     52617          MEX                  
     52618          MEX                  
     52619          MEX                  
     52620          MEX                  
     52621          MEX                  
     52622          MEX                  
     52623          MEX                  
     52624          MEX                  
     52625          MEX                  
     52626          MEX                  
     52627          MEX                  
     52628          MEX                  
     52629          MEX                  
     52630          MEX                  
     52631          MEX                  
     52632          MEX                  
     52633          MEX                  
     52634          MEX                  
     52635          MEX                  
     52636          MEX                  
     52637          MEX                  
     52638          MEX                  
     52639          MEX                  
     52640          MEX          101     
     52641          MEX                  
     52642          MEX                  
     52643          MEX                  
     52644          MEX          101     
     52645          MEX          101     
     52646          MEX          101     
     52647          MEX                  
     52648          MEX                  
     52649          MEX                  
     52650          MEX          101     
     52651          MEX                  
     52652          MEX                  
     52653          MEX          101     
     52654          MEX          101     
     52655          MEX                  
     52656          MEX          101     
     52657          MEX                  
     52658          MEX                  
     52659          MEX                  
     52660          MEX          101     
     52661          MEX                  
     52662          MEX                  
     52663          MEX          101     
     52664          MEX          101     
     52665          MEX          101     
     52666          MEX          101     
     52667          MEX          101     
     52668          MEX                  
     52669          MEX                  
     52670          MEX                  
     52671          MEX                  
     52672          MEX                  
     52673          MEX                  
     52674          MEX                  
     52675          MEX                  
     52676          MEX                  
     52677          MEX                  
     52678          MEX                  
     52679          MEX                  
     52680          MEX          043     
     52681          MEX                  
     52682          MEX                  
     52683          MEX          043     
     52684          MEX          043     
     52685          MEX          043     
     52686          MEX          043     
     52687          MEX                  
     52688          MEX          043     
     52689          MEX          043     
     52690          MEX          043     
     52691          MEX                  
     52692          MEX                  
     52693          MEX          043     
     52694          MEX                  
     52695          MEX                  
     52696          MEX                  
     52697          MEX                  
     52698          MEX                  
     52699          MEX                  
     52700          MEX          019          28     
     52701          MEX                  
     52702          MEX                  
     52703          MEX                  
     52704          MEX                  
     52705          MEX                  
     52706          MEX                  
     52707          MEX                  
     52708          MEX                  
     52709          MEX                  
     52710          MEX          019     
     52711          MEX                  
     52712          MEX                  
     52713          MEX          019     
     52714          MEX          019     
     52715          MEX          019     
     52716          MEX                  
     52717          MEX                  
     52718          MEX                  
     52719          MEX                  
     52720          MEX          019     
     52721          MEX                  
     52722          MEX                  
     52723          MEX          019     
     52724          MEX                  
     52725          MEX                  
     52726          MEX                  
     52727          MEX                  
     52728          MEX                  
     52729          MEX                  
     52730          MEX          019     
     52731          MEX                  
     52732          MEX                  
     52733          MEX          019     
     52734          MEX                  
     52735          MEX                  
     52736          MEX                  
     52737          MEX                  
     52738          MEX                  
     52739          MEX                  
     52740          MEX          062          40     
     52741          MEX                  
